event,place,date,latitude,longitude,notes,image_link,missing,timeline
First time we saw eachother,IDC,2021-06-18,32.1758874,34.835198,You sent me - I saw you!,https://i.ibb.co/m0h6Qsv/Chat-screen-1-1.png,no,TRUE
First Kiss,Municipal Bar,2021-06-20,32.1627707,34.8390053,"We went on a date to the Municipal, talking freely about our deepest secrets (or others' hahaha), I tried gaining enough confidence to ask you if it's okay that I kiss you, you said yes. WOOHOO",https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
1st Date,Municipal Bar,2021-06-20,32.1627707,34.8390053,"Municipal Hezliya, Shutaf Abergil gave us extra shots, I knew what's best on the menu but didn't feel comfortable enough to order food just yet... not too late after and you already know what's my ""usual"".",https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
2nd Date,Yam Bar,2021-06-25,32.1682466,34.7967596,"2nd date, We thought about goin to watch the sunset from the YamBar, you offered to come on your scooter (cmonnn really?!), I had a date idea, and 2 more backups because of well, anxiety... When going to show you the bottle of wine I brought: ""Yea I also brought weed"" a green flag for me obviously. Then we smoked and I smoked too much and got really high, to a point I thought I'm embarassing myself and there probably won't be a 3rd date, to which you replied ""Oh you're high? Great, enjoy it!"". Later we went down to the beach to play for the first (and probably last?) time WNRS, that turned into an intense makeout sesh -> and then to an almost duel between you and our robber. another night saved by the upcoming girlfriend, 10 points to Learlir.",https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
3rd Date,Your old apartment,2021-06-29,32.1672382,34.833921,"Pizza making, Smoking J's & laughing bymyself at every joke in family guy (found the perfect girl!)",https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
Sleepover,Your old apartment,2021-07-01,32.1672382,34.833921,"I remember it vaugely - 'okay we can cuddle but nothing more' and nothing else happend that night, but we did fall asleep together and it was really cute. * In the picture, my face after our first night together, and a couple of injuries we gave each other the following and previous nights muwahaha*",https://i.ibb.co/s3TWBQ8/IMG-20210626-102006-COLLAGE.jpg,no,TRUE
Horrifying Movie Together,Lev Cinema,2021-07-03,32.1840745,34.850619,"Promising Young Woman - from the imdb description: A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path. IS THIS REALLY A DATENIGHT MOVIE OR A TEST?! It really was gamechanging though",https://i.ibb.co/rmPW3n5/MV5-BODg1-MDBm-Yz-Qt-Y2-Zj-ZC00-ZTU0-LTk5-OGUt-Njdm-YWJh-Y2-E5-OTY1-Xk-Ey-Xk-Fqc-Gde-QXVy-MTkx-Nj-Uy.jpg,no,TRUE
"""I Love You"" by Idan",Michali's,2021-07-24,32.7047458,35.1605127,"""I think I'm starting to have feeling for you, uhmm well I'm falling in love with you.... damn it I love you OKAY?"" It was also the first time meeting the goldbergs ❤️",https://i.ibb.co/NjzHGVt/IMG-20210724-134013-COLLAGE.jpg,no,TRUE
Documented Ride Together,Your house,2021-08-04,32.1672382,34.833921,"Going from your's to mine for another sleepover, we really started to like those :)",https://i.ibb.co/mTVY5d2/IMG-20210804-221343-COLLAGE.jpg,no,TRUE
Trip Together,Mitzpe Ramon,2021-08-10,30.6211963,34.8596895,,https://i.ibb.co/TKwbRSd/IMG-20210810-184141-COLLAGE.jpg,no,TRUE
Long Distance,US & Israel,2021-08-12,47.6103768,-122.1479926,,https://i.ibb.co/vXRmtpC/IMG-20210812-104210-COLLAGE.jpg,no,TRUE
Learlir comes to visit,Madrid,2021-11-26,40.4371005,-3.7137418,,https://i.ibb.co/TYQqmh3/IMG-20211126-232105-COLLAGE.jpg,no,TRUE
First time in Rome,Rome,2022-02-08,41.8986148,12.4794478,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
Living Together,Rabenu Tam,2022-03-29,32.1633999,34.836655,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
Sex on a Boat!,Greece,2022-04-16,37.5042782,24.1610301,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
Time at Renata's,"Bellview, WA",2022-08-05,47.6103768,-122.1479926,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
Doggy Daughter,Rehovot loves dogs,2022-09-08,31.8934461,34.8842884,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
"""I Love You"" by Lear",Israel,,31.4018437,36.4010069,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
1 Year Anniversary,"Joya, Herzliya, Israel",2022-06-20,0,0,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
First time in Berlin,,,0,0,Also our First time in a nude spa wink wink,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
First Hike Together,,,0,0,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
First time in Sinai,"Kumkum3, Sinai, Egypt",,0,0,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
First time going to the hospital together,,,0,0,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
Our Moms met eachother,,2,0,0,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,
2 Years Anniversary,,2023-06-20,0,0,,https://asimoulaw.com/wp-content/uploads/2016/08/Missing-Person-Law.jpg,yes,